Accession	Title	Technology	Taxonomy	Data Rows	Samples Count	Series Count	Contact	Release Date
GPL592	"Rosetta (Merck) Genome Tiling Experiment PatternID 262"	"spotted oligonucleotide"	"Homo sapiens"	19709	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL593	"Rosetta (Merck) Genome Tiling Experiment PatternID 263"	"spotted oligonucleotide"	"Homo sapiens"	19709	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL594	"Rosetta (Merck) Genome Tiling Experiment PatternID 264"	"spotted oligonucleotide"	"Homo sapiens"	19606	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL595	"Rosetta (Merck) Genome Tiling Experiment PatternID 265"	"spotted oligonucleotide"	"Homo sapiens"	20131	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL596	"Rosetta (Merck) Genome Tiling Experiment PatternID 266"	"spotted oligonucleotide"	"Homo sapiens"	22223	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL597	"Rosetta (Merck) Genome Tiling Experiment PatternID 267"	"spotted oligonucleotide"	"Homo sapiens"	21757	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL598	"Rosetta (Merck) Genome Tiling Experiment PatternID 268"	"spotted oligonucleotide"	"Homo sapiens"	21635	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL599	"Rosetta (Merck) Genome Tiling Experiment PatternID 269"	"spotted oligonucleotide"	"Homo sapiens"	21480	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL600	"Rosetta (Merck) Genome Tiling Experiment PatternID 270"	"spotted oligonucleotide"	"Homo sapiens"	21513	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL601	"Rosetta (Merck) Genome Tiling Experiment PatternID 271"	"spotted oligonucleotide"	"Homo sapiens"	20487	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL602	"Rosetta (Merck) Genome Tiling Experiment PatternID 272"	"spotted oligonucleotide"	"Homo sapiens"	21635	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL603	"Rosetta (Merck) Genome Tiling Experiment PatternID 273"	"spotted oligonucleotide"	"Homo sapiens"	19606	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL604	"Rosetta (Merck) Genome Tiling Experiment PatternID 274"	"spotted oligonucleotide"	"Homo sapiens"	22123	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL605	"Rosetta (Merck) Genome Tiling Experiment PatternID 275"	"spotted oligonucleotide"	"Homo sapiens"	21580	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL606	"Rosetta (Merck) Genome Tiling Experiment PatternID 276"	"spotted oligonucleotide"	"Homo sapiens"	20131	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL607	"Rosetta (Merck) Genome Tiling Experiment PatternID 277"	"spotted oligonucleotide"	"Homo sapiens"	19709	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL608	"Rosetta (Merck) Genome Tiling Experiment PatternID 278"	"spotted oligonucleotide"	"Homo sapiens"	22223	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL609	"Rosetta (Merck) Genome Tiling Experiment PatternID 279"	"spotted oligonucleotide"	"Homo sapiens"	19606	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL610	"Rosetta (Merck) Genome Tiling Experiment PatternID 280"	"spotted oligonucleotide"	"Homo sapiens"	21757	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL611	"Rosetta (Merck) Genome Tiling Experiment PatternID 281"	"spotted oligonucleotide"	"Homo sapiens"	20131	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL612	"Rosetta (Merck) Genome Tiling Experiment PatternID 282"	"spotted oligonucleotide"	"Homo sapiens"	21757	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL613	"Rosetta (Merck) Genome Tiling Experiment PatternID 283"	"spotted oligonucleotide"	"Homo sapiens"	21635	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL614	"Rosetta (Merck) Genome Tiling Experiment PatternID 284"	"spotted oligonucleotide"	"Homo sapiens"	21513	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL615	"Rosetta (Merck) Genome Tiling Experiment PatternID 310"	"spotted oligonucleotide"	"Homo sapiens"	20485	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL616	"Rosetta (Merck) Genome Tiling Experiment PatternID 311"	"spotted oligonucleotide"	"Homo sapiens"	21635	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL617	"Rosetta (Merck) Genome Tiling Experiment PatternID 312"	"spotted oligonucleotide"	"Homo sapiens"	22123	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL618	"Rosetta (Merck) Genome Tiling Experiment PatternID 313"	"spotted oligonucleotide"	"Homo sapiens"	19709	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL619	"Rosetta (Merck) Genome Tiling Experiment PatternID 314"	"spotted oligonucleotide"	"Homo sapiens"	22223	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL620	"Rosetta (Merck) Genome Tiling Experiment PatternID 315"	"spotted oligonucleotide"	"Homo sapiens"	19606	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL621	"Rosetta (Merck) Genome Tiling Experiment PatternID 316"	"spotted oligonucleotide"	"Homo sapiens"	20131	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL622	"Rosetta (Merck) Genome Tiling Experiment PatternID 317"	"spotted oligonucleotide"	"Homo sapiens"	21757	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL623	"Rosetta (Merck) Genome Tiling Experiment PatternID 318"	"spotted oligonucleotide"	"Homo sapiens"	21480	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL624	"Rosetta (Merck) Genome Tiling Experiment PatternID 319"	"spotted oligonucleotide"	"Homo sapiens"	21635	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL625	"Rosetta (Merck) Genome Tiling Experiment PatternID 320"	"spotted oligonucleotide"	"Homo sapiens"	21513	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL626	"Rosetta (Merck) Genome Tiling Experiment PatternID 321"	"spotted oligonucleotide"	"Homo sapiens"	20487	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL627	"Rosetta (Merck) Genome Tiling Experiment PatternID 322"	"spotted oligonucleotide"	"Homo sapiens"	21480	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL628	"Rosetta (Merck) Genome Tiling Experiment PatternID 323"	"spotted oligonucleotide"	"Homo sapiens"	21635	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL629	"Rosetta (Merck) Genome Tiling Experiment PatternID 324"	"spotted oligonucleotide"	"Homo sapiens"	22123	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL630	"Rosetta (Merck) Genome Tiling Experiment PatternID 325"	"spotted oligonucleotide"	"Homo sapiens"	19709	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL631	"Rosetta (Merck) Genome Tiling Experiment PatternID 326"	"spotted oligonucleotide"	"Homo sapiens"	22223	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL632	"Rosetta (Merck) Genome Tiling Experiment PatternID 327"	"spotted oligonucleotide"	"Homo sapiens"	21480	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL633	"Rosetta (Merck) Genome Tiling Experiment PatternID 328"	"spotted oligonucleotide"	"Homo sapiens"	22223	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL634	"Rosetta (Merck) Genome Tiling Experiment PatternID 331"	"spotted oligonucleotide"	"Homo sapiens"	19606	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL635	"Rosetta (Merck) Genome Tiling Experiment PatternID 332"	"spotted oligonucleotide"	"Homo sapiens"	20131	6	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL636	"Rosetta (Merck) Genome Tiling Experiment PatternID 333"	"spotted oligonucleotide"	"Homo sapiens"	21757	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL637	"Rosetta (Merck) Genome Tiling Experiment PatternID 334"	"spotted oligonucleotide"	"Homo sapiens"	21513	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL638	"Rosetta (Merck) Genome Tiling Experiment PatternID 335"	"spotted oligonucleotide"	"Homo sapiens"	22123	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL639	"Rosetta (Merck) Genome Tiling Experiment PatternID 336"	"spotted oligonucleotide"	"Homo sapiens"	20487	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL640	"Rosetta (Merck) Genome Tiling Experiment PatternID 337"	"spotted oligonucleotide"	"Homo sapiens"	21635	8	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL641	"Rosetta (Merck) Genome Tiling Experiment PatternID 801"	"spotted oligonucleotide"	"Homo sapiens"	22120	3	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL642	"Rosetta (Merck) Genome Tiling Experiment PatternID 802"	"spotted oligonucleotide"	"Homo sapiens"	21170	3	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL643	"Rosetta (Merck) Genome Tiling Experiment PatternID 803"	"spotted oligonucleotide"	"Homo sapiens"	22120	3	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL644	"Rosetta (Merck) Genome Tiling Experiment PatternID 804"	"spotted oligonucleotide"	"Homo sapiens"	22120	3	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL645	"Rosetta (Merck) Genome Tiling Experiment PatternID 805"	"spotted oligonucleotide"	"Homo sapiens"	22120	3	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL646	"Rosetta (Merck) Genome Tiling Experiment PatternID 806"	"spotted oligonucleotide"	"Homo sapiens"	22120	3	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL647	"Rosetta (Merck) Genome Tiling Experiment PatternID 807"	"spotted oligonucleotide"	"Homo sapiens"	22120	3	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL648	"Rosetta (Merck) Genome Tiling Experiment PatternID 808"	"spotted oligonucleotide"	"Homo sapiens"	22120	3	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL649	"Rosetta (Merck) Genome Tiling Experiment PatternID 809"	"spotted oligonucleotide"	"Homo sapiens"	22120	3	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL650	"Rosetta (Merck) Genome Tiling Experiment PatternID 810"	"spotted oligonucleotide"	"Homo sapiens"	22120	3	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL651	"Rosetta (Merck) Genome Tiling Experiment PatternID 811"	"spotted oligonucleotide"	"Homo sapiens"	22120	3	1	"Stephen W Edwards"	"Dec 17, 2003"
GPL652	"Rosetta (Merck) Genome Tiling Experiment PatternID 812"	"spotted oligonucleotide"	"Homo sapiens"	22120	3	1	"Stephen W Edwards"	"Dec 17, 2003"
