Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE28992	"Effect of a dual specificity PI3K/mTOR inhibitor, NVP-BEZ235, on human ovarian cancer cell lines grown in 3D culture"	"Expression profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28992/suppl"	22340595		"Joan S. Brugge"	"Mar 13, 2012"
GSE31579	"Genome-wide microRNA expression profiling identifies miR-9-3 and miR-193a as targets for DNA methylation in non-small cell lung cancers"	"Non-coding RNA profiling by array"	"Homo sapiens"	4		"XLS"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31579/suppl"	22282464		"Gerwin Heller"	"Mar 13, 2012"
GSE35884	"Genome wide mapping of gH2AX in quiescent and irradiation-induced senescent human fibroblasts"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	4		"BEDGRAPH"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35884/suppl"	22426077	SRP010614	"Gabriele Bucci"	"Mar 13, 2012"
GSE36236	"Small RNA sequencing of melanoma samples to deduce microRNA expression profiles"	"Non-coding RNA profiling by high throughput sequencing"	"Homo sapiens"	31		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36236/suppl"	25237911	SRP011422	"Sam Dadras"	"Mar 13, 2012"
GSE25590	"miR-148b modulates the C1GALT1 expression explaining the abnormal glycosylation process in IgA Nephropathy"	"Non-coding RNA profiling by array"	"Homo sapiens"	14		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25590/suppl"	22362909		"Sharon Natasha Cox"	"Mar 12, 2012"
GSE26465	"Beta-microseminoprotein (MSMB) downregulation is associated with increased drug resistance in ovarian cancer"	"Expression profiling by array"	"Homo sapiens"	14		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26465/suppl"	22141344		"Kevin G Becker"	"Mar 12, 2012"
GSE29161	"Gene Expression Analysis of Blood Reveals S100A11 and AQP9 as Potential Biomarkers of Infective Endocarditis"	"Expression profiling by array"	"Homo sapiens"	15		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29161/suppl"	22319637		"adil ef"	"Mar 12, 2012"
GSE32138	"The response of human primary airway epithelial cells to Influenza or RSV infection [hAECs_Agilent]."	"Expression profiling by array"	"Homo sapiens"	16		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32138/suppl"	22398282		"IOANNIS IOANNIDIS"	"Mar 12, 2012"
GSE32139	"The response of human primary airway epithelial cells to Influenza or RSV infection [hAECs_Illumina]"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32139/suppl"	22398282		"IOANNIS IOANNIDIS"	"Mar 12, 2012"
GSE32140	"The response of PBMCs and primary airway epithelial cells to Influenza and RSV virus"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	147		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32140/suppl"	22398282		"IOANNIS IOANNIDIS"	"Mar 12, 2012"
